Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digikey
1,,+BattTerminal,BT1 BT3 BT5,+BattTerminal,+Batt Terminal,3,http://www.memoryprotectiondevices.com/datasheets/SN-T5-2-datasheet.pdf,SN-T5-2-ND
2,,-BattTerminal,BT2 BT4 BT6,-BattTerminal,-Batt Terminal,3,,36-240-ND
3,,FuseHolder,F1,FuseHolder,Glass Fuse Holder,1,https://www.littelfuse.com/data/en/data_sheets/littelfuse_fuse-clips.pdf,F4236-ND
4,,WirePad,P1 P2,WirePad,Wire Pad,2,,
5,,WirePad,P3,WirePad,Small Wire Pad,1,,
6,"N-MOSFET transistor, drain/gate/source",Q_NMOS_DGS,Q1,Q_NMOS_DGS,TRANS_DMN2020UFCL-7,1,https://www.diodes.com/assets/Datasheets/DMN2020UFCL.pdf,DMN2020UFCL-7DICT-ND
7,"Resistor, small symbol",R_Small,R1,100k,R_0805,1,https://www.rohm.com/datasheet/ESR01MZPF/esr-e,RHM100KKCT-ND





Component Groups:,7
Component Count:,12
Fitted Components:,12
Number of PCBs:,1
Total components:,12
Schematic Version:,
Schematic Date:,
BoM Date:,2019-01-30 8:49:02 PM
Schematic Source:,C:\Users\pwhel\Documents\Eastern Edge Github\2019-Electrical\PCBs\Battery Pack\Battery Pack Side 1\_saved_Battery Pack.sch
KiCad Version:,Eeschema (5.0.1)-3
